timestamp_us,op_type,chunk_id,latency_us,ok,bytes
1776916149764104,GET,chunk_0,9,0,0
1776916149764115,GET,chunk_0,9,0,0
1776916149764120,GET,chunk_0,9,0,0
1776916149764109,GET,chunk_0,9,0,0
1776916149764125,GET,chunk_0,10,0,0
1776916149764133,GET,chunk_0,10,0,0
1776916149764139,PUT,chunk_0,9,0,4096
1776916149764129,GET,chunk_0,11,0,0
1776916149764144,GET,chunk_0,9,0,0
1776916149764152,GET,chunk_0,10,0,0
1776916149764157,PUT,chunk_0,9,0,4096
1776916149764162,GET,chunk_0,9,0,0
1776916149764148,GET,chunk_0,10,0,0
1776916149764167,GET,chunk_0,10,0,0
1776916149764176,GET,chunk_0,10,0,0
1776916149764181,GET,chunk_0,9,0,0
1776916149764186,GET,chunk_0,9,0,0
1776916149764190,PUT,chunk_3,10,0,4096
1776916149764196,GET,chunk_0,10,0,0
1776916149764200,PUT,chunk_0,9,0,4096
1776916149764205,GET,chunk_0,9,0,0
1776916149764171,PUT,chunk_2,11,0,4096
1776916149764214,GET,chunk_0,9,0,0
1776916149764218,GET,chunk_0,9,0,0
1776916149764210,GET,chunk_0,9,0,0
1776916149764228,PUT,chunk_0,9,0,4096
1776916149764232,GET,chunk_0,10,0,0
1776916149764237,GET,chunk_0,10,0,0
1776916149764242,PUT,chunk_0,9,0,4096
1776916149764247,GET,chunk_0,9,0,0
1776916149764224,PUT,chunk_0,9,0,4096
1776916149764252,PUT,chunk_0,9,0,4096
1776916149764260,GET,chunk_0,10,0,0
1776916149764265,PUT,chunk_3,9,0,4096
1776916149764256,PUT,chunk_0,10,0,4096
1776916149764271,GET,chunk_4,11,0,0
1776916149764279,GET,chunk_0,10,0,0
1776916149764284,GET,chunk_2,9,0,0
1776916149764275,GET,chunk_0,11,0,0
1776916149764294,GET,chunk_0,10,0,0
1776916149764298,GET,chunk_3,10,0,0
1776916149764308,PUT,chunk_0,9,0,4096
1776916149764303,GET,chunk_3,9,0,0
1776916149764290,GET,chunk_0,9,0,0
1776916149764316,PUT,chunk_0,8,0,4096
1776916149764322,GET,chunk_2,8,0,0
1776916149764327,PUT,chunk_3,9,0,4096
1776916149764332,GET,chunk_0,9,0,0
1776916149764338,GET,chunk_0,9,0,0
1776916149764343,GET,chunk_0,9,0,0
1776916149764348,GET,chunk_0,9,0,0
1776916149764354,PUT,chunk_0,9,0,4096
1776916149764359,PUT,chunk_0,9,0,4096
1776916149764364,PUT,chunk_0,9,0,4096
1776916149764369,PUT,chunk_0,9,0,4096
1776916149764375,GET,chunk_0,9,0,0
1776916149764380,GET,chunk_0,9,0,0
1776916149764385,PUT,chunk_0,9,0,4096
1776916149764391,PUT,chunk_0,9,0,4096
1776916149764396,GET,chunk_0,9,0,0
1776916149764401,PUT,chunk_0,9,0,4096
1776916149764406,PUT,chunk_0,9,0,4096
1776916149764412,GET,chunk_0,9,0,0
1776916149764417,GET,chunk_0,9,0,0
1776916149764422,PUT,chunk_0,9,0,4096
1776916149764428,GET,chunk_0,8,0,0
1776916149764433,GET,chunk_0,9,0,0
1776916149764444,GET,chunk_0,10,0,0
1776916149764438,GET,chunk_0,9,0,0
1776916149764449,PUT,chunk_0,10,0,4096
1776916149764454,GET,chunk_0,10,0,0
1776916149764463,GET,chunk_0,11,0,0
1776916149764468,GET,chunk_0,9,0,0
1776916149764474,GET,chunk_0,9,0,0
1776916149764486,GET,chunk_0,9,0,0
1776916149764478,GET,chunk_0,29,0,0
1776916149764458,GET,chunk_0,12,0,0
1776916149764483,GET,chunk_0,20,0,0
1776916149764538,PUT,chunk_0,9,0,4096
1776916149764512,GET,chunk_0,11,0,0
1776916149764511,PUT,chunk_4,11,0,4096
1776916149764551,GET,chunk_0,11,0,0
1776916149764557,PUT,chunk_0,12,0,4096
1776916149764548,GET,chunk_0,17,0,0
1776916149764561,GET,chunk_0,10,0,0
1776916149764567,PUT,chunk_0,8,0,4096
1776916149764579,GET,chunk_0,10,0,0
1776916149764584,PUT,chunk_3,9,0,4096
1776916149764589,GET,chunk_0,9,0,0
1776916149764573,GET,chunk_0,9,0,0
